rank,player,team,division,goals,match_count,note
1,齊藤 楓花,INAC柏CRAVO FC,ALL,7,3,
1,清野 七愛,栃木SCレディース,ALL,7,5,
3,伊東 空,ジェフユナイテッド市原・千葉レディースU-15,ALL,6,3,
4,水越 苺奈,小美玉フットボールアカデミー,ALL,5,4,team_heading_not_in_match:小美玉フットボールアカデミー
4,赤瀬 紗来,横須賀シーガルズMEG,ALL,5,4,
4,阿部 妃栞,横須賀シーガルズMEG,ALL,5,4,
7,江川 千聖,INAC白岡SCレディース,ALL,4,3,
7,真田 小町,スフィーダ世田谷FCユース,ALL,4,2,team_heading_not_in_match:スフィーダ世田谷FCユース
7,関 まはる,スフィーダ世田谷FCユース,ALL,4,4,team_heading_not_in_match:スフィーダ世田谷FCユース
7,福永 桔子,ノジマステラ神奈川相模原アヴェニーレ,ALL,4,4,
7,鈴木 美尋,ノジマステラ神奈川相模原アヴェニーレ,ALL,4,3,
7,林 加笑,栃木SCレディース,ALL,4,3,
7,籔下 遥,湘南ベルマーレU-15ガールズ,ALL,4,3,
14,加藤 なづな,INAC柏CRAVO FC,ALL,3,2,
14,藤沢 美緒,INAC柏CRAVO FC,ALL,3,2,
14,藤本 優里,INAC白岡SCレディース,ALL,3,3,
14,松本 芽生,ちふれASエルフェン埼玉マリU-15,ALL,3,3,
14,小田 葵音,ジェフユナイテッド市原・千葉レディースU-15,ALL,3,1,
14,平野 笑帆,ジェフユナイテッド市原・千葉レディースU-15,ALL,3,2,
14,滝澤 優奈,スフィーダ世田谷FCユース,ALL,3,3,team_heading_not_in_match:スフィーダ世田谷FCユース
14,平出 皐,三菱重工浦和レッズレディースジュニアユース,ALL,3,1,
14,林 花凜,三菱重工浦和レッズレディースジュニアユース,ALL,3,3,
14,森井 咲,三菱重工浦和レッズレディースジュニアユース,ALL,3,3,
14,浅野 伶央,三菱重工浦和レッズレディースジュニアユース,ALL,3,3,
14,オウンゴール,小美玉フットボールアカデミー,ALL,3,2,team_heading_not_in_match:小美玉フットボールアカデミー
26,下村 結七,FC市川GUNNERSレディース,ALL,2,2,
26,笹ノ間 奈央,INAC柏CRAVO FC,ALL,2,2,
26,清水 若葉,INAC白岡SCレディース,ALL,2,2,
26,福島 和心,INAC白岡SCレディース,ALL,2,1,
26,肥田 梨咲子,INAC白岡SCレディース,ALL,2,2,
26,奥田 利咲,RB大宮アルディージャWOMEN U15,ALL,2,2,team_heading_not_in_match:RB大宮アルディージャWOMEN U15
26,山下 明日未,ジェフユナイテッド市原・千葉レディースU-15,ALL,2,2,
26,岡﨑 かえで,ジェフユナイテッド市原・千葉レディースU-15,ALL,2,1,
26,西澤 琉愛,ジェフユナイテッド市原・千葉レディースU-15,ALL,2,1,
26,山口 心寧,ノジマステラ神奈川相模原アヴェニーレ,ALL,2,2,
26,松川 明愛,ノジマステラ神奈川相模原アヴェニーレ,ALL,2,2,
26,大隈 亜子,三菱重工浦和レッズレディースジュニアユース,ALL,2,1,
26,小林 花音,三菱重工浦和レッズレディースジュニアユース,ALL,2,2,
26,河合 萌花,三菱重工浦和レッズレディースジュニアユース,ALL,2,2,
26,小川 梨心,十文字中学校,ALL,2,2,
26,市原 萌百花,十文字中学校,ALL,2,2,
26,川崎 理桜,小美玉フットボールアカデミー,ALL,2,2,team_heading_not_in_match:小美玉フットボールアカデミー
26,星野 陽葵,小美玉フットボールアカデミー,ALL,2,2,team_heading_not_in_match:小美玉フットボールアカデミー
26,朝岡 明希,小美玉フットボールアカデミー,ALL,2,1,team_heading_not_in_match:小美玉フットボールアカデミー
26,森島 めあり,小美玉フットボールアカデミー,ALL,2,2,team_heading_not_in_match:小美玉フットボールアカデミー
26,會澤 萌乃風,府ロクレディース,ALL,2,2,team_heading_not_in_match:府ロクレディース
26,奈良 凪紗,栃木SCレディース,ALL,2,1,
26,小野寺 真帆,横須賀シーガルズMEG,ALL,2,2,
26,中邨 日向,湘南ベルマーレU-15ガールズ,ALL,2,2,
26,佐藤 楓,湘南ベルマーレU-15ガールズ,ALL,2,1,
26,茨田 真侑,湘南ベルマーレU-15ガールズ,ALL,2,2,
26,高橋 杏莉,湘南ベルマーレU-15ガールズ,ALL,2,2,
