rank,player,team,division,goals,match_count,note
1,松田千紗,スフィーダ世田谷FCユース,2部,17,8,team_heading_not_in_match:スフィーダ世田谷FCユース
2,新田千穂,湘南ベルマーレU-15ガールズ,2部,13,8,
3,牧野菜々,INAC千葉CRAVO FC,2部,12,8,
4,武井ふうこ,INAC千葉CRAVO FC,2部,11,6,
5,真田小町,スフィーダ世田谷FCユース,2部,10,5,team_heading_not_in_match:スフィーダ世田谷FCユース
6,茂木陽菜,スフィーダ世田谷FCユース,2部,9,3,team_heading_not_in_match:スフィーダ世田谷FCユース
6,丹野柚,栃木SCレディース,2部,9,6,score_mismatch:expected=13:actual=12
8,山田笑子,INAC千葉CRAVO FC,2部,8,1,
8,阿久津三希,INAC千葉CRAVO FC,2部,8,4,
8,村田紗菜,スフィーダ世田谷FCユース,2部,8,7,team_heading_not_in_match:スフィーダ世田谷FCユース
11,曽雌心美,十文字中学校,2部,7,5,
11,関根舞彩,大宮アルディージャVENTUS U15,2部,7,4,team_heading_not_in_match:大宮アルディージャVENTUS U15
11,小島瑚菜,湘南ベルマーレU-15ガールズ,2部,7,2,
11,菊地沙愛,湘南ベルマーレU-15ガールズ,2部,7,4,
15,中島萌花,INAC千葉CRAVO FC,2部,6,3,
15,浅野心都,INAC千葉CRAVO FC,2部,6,4,
15,茂木暖,ザスパ群馬レディースU-15,2部,6,4,
15,横田理桜,十文字中学校,2部,6,3,
15,奥田利咲,大宮アルディージャVENTUS U15,2部,6,5,team_heading_not_in_match:大宮アルディージャVENTUS U15
15,吉井真夏,湘南ベルマーレU-15ガールズ,2部,6,4,
15,岩井翠星,湘南ベルマーレU-15ガールズ,2部,6,4,
15,矢内智華,湘南ベルマーレU-15ガールズ,2部,6,3,
15,菊地菜々美,湘南ベルマーレU-15ガールズ,2部,6,3,
24,新居蒼生,INAC千葉CRAVO FC,2部,5,1,
24,清水うらら,十文字中学校,2部,5,5,
24,林加笑,栃木SCレディース,2部,5,3,
24,檜山未知琉,栃木SCレディース,2部,5,3,score_mismatch:expected=13:actual=12
28,武井桃香,十文字中学校,2部,4,2,
28,鬼久保遥花,十文字中学校,2部,4,3,
28,加藤咲那,大宮アルディージャVENTUS U15,2部,4,2,team_heading_not_in_match:大宮アルディージャVENTUS U15
28,比留間きり,大宮アルディージャVENTUS U15,2部,4,4,team_heading_not_in_match:大宮アルディージャVENTUS U15
28,奈良凪紗,栃木SCレディース,2部,4,3,
28,渡邉凜,栃木SCレディース,2部,4,3,
28,佐藤楓,湘南ベルマーレU-15ガールズ,2部,4,3,
35,林侑花,INAC千葉CRAVO FC,2部,3,3,
35,小澤璃子,スフィーダ世田谷FCユース,2部,3,2,team_heading_not_in_match:スフィーダ世田谷FCユース
35,田島帆夏,スフィーダ世田谷FCユース,2部,3,2,team_heading_not_in_match:スフィーダ世田谷FCユース
35,内川なお,十文字中学校,2部,3,3,
35,尾﨑あかね,十文字中学校,2部,3,1,
35,小口彩理,大宮アルディージャVENTUS U15,2部,3,3,team_heading_not_in_match:大宮アルディージャVENTUS U15
35,近藤芽衣,大宮アルディージャVENTUS U15,2部,3,3,team_heading_not_in_match:大宮アルディージャVENTUS U15
35,飯塚紗永,湘南ベルマーレU-15ガールズ,2部,3,2,
43,笹ノ間奈央,INAC千葉CRAVO FC,2部,2,2,
43,花村莉子,INAC千葉CRAVO FC,2部,2,2,
43,齊藤楓花,INAC千葉CRAVO FC,2部,2,2,
43,川田月葉,TRAUM SVレディースU-15,2部,2,2,
43,舘崎舞彩子,TRAUM SVレディースU-15,2部,2,2,
43,品川結衣,ザスパ群馬レディースU-15,2部,2,1,
43,土屋琉花,ザスパ群馬レディースU-15,2部,2,2,
43,土屋華歩,ザスパ群馬レディースU-15,2部,2,1,
43,滝澤優奈,スフィーダ世田谷FCユース,2部,2,2,
43,田村明希,スフィーダ世田谷FCユース,2部,2,2,team_heading_not_in_match:スフィーダ世田谷FCユース
43,甲斐佳音,スフィーダ世田谷FCユース,2部,2,2,team_heading_not_in_match:スフィーダ世田谷FCユース
43,鈴木優心,スフィーダ世田谷FCユース,2部,2,1,team_heading_not_in_match:スフィーダ世田谷FCユース
43,小川梨心,十文字中学校,2部,2,2,
43,松原璃々,十文字中学校,2部,2,2,
43,遊佐葉月,十文字中学校,2部,2,2,
43,奥墨結花,大宮アルディージャVENTUS U15,2部,2,2,team_heading_not_in_match:大宮アルディージャVENTUS U15
43,岩崎かえら,大宮アルディージャVENTUS U15,2部,2,2,
43,平井香凜,大宮アルディージャVENTUS U15,2部,2,1,
43,林果奈実,大宮アルディージャVENTUS U15,2部,2,2,
43,坂上愛姫,栃木SCレディース,2部,2,1,score_mismatch:expected=13:actual=12
43,富澤結夢,栃木SCレディース,2部,2,2,
43,小森陽咲,栃木SCレディース,2部,2,1,score_mismatch:expected=13:actual=12
43,森田梨愛,栃木SCレディース,2部,2,2,
43,オウンゴール,湘南ベルマーレU-15ガールズ,2部,2,2,
43,山田七海,湘南ベルマーレU-15ガールズ,2部,2,2,
43,竹澤瑚夏,湘南ベルマーレU-15ガールズ,2部,2,2,team_heading_not_in_match:湘南ベルマーレU-15ガールズ
43,高橋杏莉,湘南ベルマーレU-15ガールズ,2部,2,1,
70,大岩音波,INAC千葉CRAVO FC,2部,1,1,
70,鈴木唯寛,INAC千葉CRAVO FC,2部,1,1,
70,飯岡真生,INAC千葉CRAVO FC,2部,1,1,
70,髙橋茉愛,INAC千葉CRAVO FC,2部,1,1,
70,倉田香々彩,ザスパ群馬レディースU-15,2部,1,1,
70,小島ひなた,ザスパ群馬レディースU-15,2部,1,1,
70,林碧瀬,ザスパ群馬レディースU-15,2部,1,1,
70,石川りん花,ザスパ群馬レディースU-15,2部,1,1,
70,オウンゴール,スフィーダ世田谷FCユース,2部,1,1,
70,中澤柚寿,スフィーダ世田谷FCユース,2部,1,1,team_heading_not_in_match:スフィーダ世田谷FCユース
70,加瀨楓,スフィーダ世田谷FCユース,2部,1,1,team_heading_not_in_match:スフィーダ世田谷FCユース
