rank,player,team,division,goals,match_count,note
1,伊東 空,ジェフユナイテッド市原・千葉レディースU-15,1部,6,3,
2,江川 千聖,INAC白岡SCレディース,1部,5,4,
2,鈴木 美尋,ノジマステラ神奈川相模原アヴェニーレ,1部,5,4,
2,平出 皐,三菱重工浦和レッズレディースジュニアユース,1部,5,2,
2,水越 苺奈,小美玉フットボールアカデミー,1部,5,4,team_heading_not_in_match:小美玉フットボールアカデミー
2,赤瀬 紗来,横須賀シーガルズMEG,1部,5,4,
2,阿部 妃栞,横須賀シーガルズMEG,1部,5,4,
8,福永 桔子,ノジマステラ神奈川相模原アヴェニーレ,1部,4,4,
8,籔下 遥,湘南ベルマーレU-15ガールズ,1部,4,3,
10,清水 若葉,INAC白岡SCレディース,1部,3,3,
10,藤本 優里,INAC白岡SCレディース,1部,3,3,
10,小田 葵音,ジェフユナイテッド市原・千葉レディースU-15,1部,3,1,
10,平野 笑帆,ジェフユナイテッド市原・千葉レディースU-15,1部,3,2,
10,大隈 亜子,三菱重工浦和レッズレディースジュニアユース,1部,3,2,
10,林 花凜,三菱重工浦和レッズレディースジュニアユース,1部,3,3,
10,森井 咲,三菱重工浦和レッズレディースジュニアユース,1部,3,3,
10,浅野 伶央,三菱重工浦和レッズレディースジュニアユース,1部,3,3,
10,オウンゴール,小美玉フットボールアカデミー,1部,3,2,team_heading_not_in_match:小美玉フットボールアカデミー
19,福島 和心,INAC白岡SCレディース,1部,2,1,
19,肥田 梨咲子,INAC白岡SCレディース,1部,2,2,
19,山下 明日未,ジェフユナイテッド市原・千葉レディースU-15,1部,2,2,
19,岡﨑 かえで,ジェフユナイテッド市原・千葉レディースU-15,1部,2,1,
19,西澤 琉愛,ジェフユナイテッド市原・千葉レディースU-15,1部,2,1,
19,山口 心寧,ノジマステラ神奈川相模原アヴェニーレ,1部,2,2,
19,松川 明愛,ノジマステラ神奈川相模原アヴェニーレ,1部,2,2,
19,鎌田 桃音,ノジマステラ神奈川相模原アヴェニーレ,1部,2,1,
19,小林 花音,三菱重工浦和レッズレディースジュニアユース,1部,2,2,
19,平澤 夢真,三菱重工浦和レッズレディースジュニアユース,1部,2,2,
19,池谷 七南,三菱重工浦和レッズレディースジュニアユース,1部,2,2,
19,河合 萌花,三菱重工浦和レッズレディースジュニアユース,1部,2,2,
19,川崎 理桜,小美玉フットボールアカデミー,1部,2,2,team_heading_not_in_match:小美玉フットボールアカデミー
19,星野 陽葵,小美玉フットボールアカデミー,1部,2,2,team_heading_not_in_match:小美玉フットボールアカデミー
19,朝岡 明希,小美玉フットボールアカデミー,1部,2,1,team_heading_not_in_match:小美玉フットボールアカデミー
19,森島 めあり,小美玉フットボールアカデミー,1部,2,2,team_heading_not_in_match:小美玉フットボールアカデミー
19,小野寺 真帆,横須賀シーガルズMEG,1部,2,2,
19,中邨 日向,湘南ベルマーレU-15ガールズ,1部,2,2,
19,佐藤 楓,湘南ベルマーレU-15ガールズ,1部,2,1,
19,茨田 真侑,湘南ベルマーレU-15ガールズ,1部,2,2,
19,高橋 杏莉,湘南ベルマーレU-15ガールズ,1部,2,2,
40,小沼 來倖,INAC白岡SCレディース,1部,1,1,
40,金子 歩未,INAC白岡SCレディース,1部,1,1,
40,大井 陽菜花,VONDS市原FCレディ－スU-15,1部,1,1,
40,柴田 麗衣,VONDS市原FCレディ－スU-15,1部,1,1,
40,氏家 心絆,VONDS市原FCレディ－スU-15,1部,1,1,
40,福尾 美緒音,VONDS市原FCレディ－スU-15,1部,1,1,
40,福田 結彩,VONDS市原FCレディ－スU-15,1部,1,1,
40,長山 あいら,VONDS市原FCレディ－スU-15,1部,1,1,
40,吉岡 奏碧,ジェフユナイテッド市原・千葉レディースU-15,1部,1,1,
40,平山 奏陽,ジェフユナイテッド市原・千葉レディースU-15,1部,1,1,
40,落合 姫花,ジェフユナイテッド市原・千葉レディースU-15,1部,1,1,
40,越川 日葉莉,ジェフユナイテッド市原・千葉レディースU-15,1部,1,1,
40,中田 優沙,ノジマステラ神奈川相模原アヴェニーレ,1部,1,1,
40,信川 結菜,ノジマステラ神奈川相模原アヴェニーレ,1部,1,1,
40,枩埜 心凪,ノジマステラ神奈川相模原アヴェニーレ,1部,1,1,
40,田中 凛,ノジマステラ神奈川相模原アヴェニーレ,1部,1,1,
40,藤田 生穂,ノジマステラ神奈川相模原アヴェニーレ,1部,1,1,
40,オウンゴール,三菱重工浦和レッズレディースジュニアユース,1部,1,1,
40,宮脇 彩,三菱重工浦和レッズレディースジュニアユース,1部,1,1,
40,由利 桃子,三菱重工浦和レッズレディースジュニアユース,1部,1,1,
40,那須野 葵,三菱重工浦和レッズレディースジュニアユース,1部,1,1,
40,頼広 結舞,三菱重工浦和レッズレディースジュニアユース,1部,1,1,
40,北川 花澄,小美玉フットボールアカデミー,1部,1,1,team_heading_not_in_match:小美玉フットボールアカデミー
40,郷原 希恵,小美玉フットボールアカデミー,1部,1,1,team_heading_not_in_match:小美玉フットボールアカデミー
40,高柳 凛歩,小美玉フットボールアカデミー,1部,1,1,team_heading_not_in_match:小美玉フットボールアカデミー
40,上野 まひ菜,横須賀シーガルズMEG,1部,1,1,
40,中島 叶夢,横須賀シーガルズMEG,1部,1,1,
40,大宮 夢,横須賀シーガルズMEG,1部,1,1,
40,脇田 莉央,横須賀シーガルズMEG,1部,1,1,
40,宮崎 杏,湘南ベルマーレU-15ガールズ,1部,1,1,
40,島田 莉里花,湘南ベルマーレU-15ガールズ,1部,1,1,
